sampledate,Time,hour,temp,lux,time
6/18/13,21:45,21,NA,10333.4,21.75
6/18/13,22:00,22,NA,8266.7,22.00
6/18/13,22:15,22,NA,5166.7,22.25
6/18/13,22:30,22,NA,3961.1,22.50
6/18/13,22:45,22,NA,2927.8,22.75
6/18/13,23:00,23,NA,2669.5,23.00
6/18/13,23:15,23,NA,2238.9,23.25
6/18/13,23:30,23,NA,1636.1,23.50
6/18/13,23:45,23,NA,1980.6,23.75
6/19/13,0:00,0,NA,2669.5,0.00
6/19/13,0:15,0,NA,2238.9,0.25
6/19/13,0:30,0,NA,2152.8,0.50
6/19/13,0:45,0,NA,1377.8,0.75
6/19/13,1:00,1,NA,1270.1,1.00
6/19/13,1:15,1,NA,1097.9,1.25
6/19/13,1:30,1,NA,1367,1.50
6/19/13,1:45,1,NA,1280.9,1.75
6/19/13,2:00,2,NA,1722.2,2.00
6/19/13,2:15,2,NA,1636.1,2.25
6/19/13,2:30,2,NA,1377.8,2.50
6/19/13,2:45,2,NA,1076.4,2.75
6/19/13,3:00,3,NA,1550,3.00
6/19/13,3:15,3,NA,3788.9,3.25
6/19/13,3:30,3,NA,4133.4,3.50
6/19/13,3:45,3,NA,5511.1,3.75
6/19/13,4:00,4,NA,5338.9,4.00
6/19/13,4:15,4,NA,3100,4.25
6/19/13,4:30,4,NA,3100,4.50
6/19/13,4:45,4,NA,3961.1,4.75
6/19/13,5:00,5,NA,5166.7,5.00
6/19/13,5:15,5,NA,5511.1,5.25
6/19/13,5:30,5,NA,6544.5,5.50
6/19/13,5:45,5,NA,10677.8,5.75
6/19/13,6:00,6,NA,14466.8,6.00
6/19/13,6:15,6,NA,20666.8,6.25
6/19/13,6:30,6,NA,24800.2,6.50
6/19/13,6:45,6,NA,24800.2,6.75
6/19/13,7:00,7,NA,24800.2,7.00
6/19/13,7:15,7,NA,31689.1,7.25
6/19/13,7:30,7,NA,46844.8,7.50
6/19/13,7:45,7,NA,46844.8,7.75
6/19/13,8:00,8,NA,49600.3,8.00
6/19/13,8:15,8,NA,41333.6,8.25
6/19/13,8:30,8,NA,39955.8,8.50
6/19/13,8:45,8,NA,38578,8.75
6/19/13,9:00,9,NA,33066.9,9.00
6/19/13,9:15,9,NA,49600.3,9.25
6/19/13,9:30,9,NA,46844.8,9.50
6/19/13,9:45,9,NA,19977.9,9.75
6/19/13,10:00,10,NA,77156.1,10.00
6/19/13,10:15,10,NA,71644.9,10.25
6/19/13,10:30,10,NA,60622.6,10.50
6/19/13,10:45,10,NA,14466.8,10.75
6/19/13,11:00,11,NA,34444.7,11.00
6/19/13,11:15,11,NA,137778.7,11.25
6/19/13,11:30,11,NA,126756.4,11.50
6/19/13,11:45,11,NA,34444.7,11.75
6/19/13,12:00,12,NA,46844.8,12.00
6/19/13,12:15,12,NA,66133.8,12.25
